Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\CSharpRagApp.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\CSharpRagApp.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 8.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\CSharpRagApp.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.3"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\CSharpRagApp.csproj,,,Azure.Identity 1.13.2,,,,,"Azure.Identity, 1.13.2  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.17.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\CSharpRagApp.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Services\CitationParser.cs,37,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(jsonResponse);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Services\CitationParser.cs,37,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(jsonResponse);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,194,16,T:System.BinaryData,,,,,"Console.WriteLine($""Response: {rawResponse.Content}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,194,16,P:System.ClientModel.Primitives.PipelineResponse.Content,,,,,"Console.WriteLine($""Response: {rawResponse.Content}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,191,12,T:System.ClientModel.Primitives.PipelineResponse,,,,,var rawResponse = ex.GetRawResponse();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,191,12,M:System.ClientModel.ClientResultException.GetRawResponse,,,,,var rawResponse = ex.GetRawResponse();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,189,12,P:System.ClientModel.ClientResultException.Status,,,,,"Console.WriteLine($""Status: {ex.Status}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,145,20,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(jsonContent);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,145,20,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(jsonContent);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,143,20,T:System.BinaryData,,,,,var jsonContent = rawResponse.Content.ToString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,143,20,P:System.ClientModel.Primitives.PipelineResponse.Content,,,,,var jsonContent = rawResponse.Content.ToString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,143,20,M:System.BinaryData.ToString,,,,,var jsonContent = rawResponse.Content.ToString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,140,16,T:System.ClientModel.Primitives.PipelineResponse,,,,,var rawResponse = response.GetRawResponse();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,140,16,M:System.ClientModel.ClientResult.GetRawResponse,,,,,var rawResponse = response.GetRawResponse();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,62,8,T:System.Uri,,,,,"var dataSource = new AzureSearchChatDataSource          {              Endpoint = new Uri(searchEndpoint),              IndexName = searchIndex,              Authentication = searchAuth          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,62,8,M:System.Uri.#ctor(System.String),,,,,"var dataSource = new AzureSearchChatDataSource          {              Endpoint = new Uri(searchEndpoint),              IndexName = searchIndex,              Authentication = searchAuth          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,62,8,T:System.Uri,,,,,"var dataSource = new AzureSearchChatDataSource          {              Endpoint = new Uri(searchEndpoint),              IndexName = searchIndex,              Authentication = searchAuth          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,52,8,T:System.Uri,,,,,"var client = new AzureOpenAIClient(new Uri(endpoint), credential);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CSharpRagApp\CSharpRagApp.csproj,File,CSharpRagApp\Program.cs,52,8,M:System.Uri.#ctor(System.String),,,,,"var client = new AzureOpenAIClient(new Uri(endpoint), credential);"
